CODEX,CODASS,CR,CURS,Q,APR,NP,NC,NF,GR,QUATRI
226410,240011,6.0,2010,1,S,6.6,6.6,6.6,52,Q1
227236,240011,6.0,2010,1,N,0.7,0.7,0.7,52,Q1
227609,240011,6.0,2010,1,S,6.8,6.8,6.8,52,Q1
227935,240012,6.0,2010,1,S,7.0,7.0,7.0,32,Q1
228046,240012,6.0,2010,1,S,5.3,5.3,5.3,32,Q1
228164,240012,6.0,2010,1,S,6.5,6.5,6.5,32,Q1
228576,240012,6.0,2010,1,N,4.7,4.7,4.7,32,Q1
230157,240012,6.0,2010,1,S,6.2,6.2,6.2,32,Q1
227829,240011,6.0,2010,1,S,5.2,5.2,5.2,43,Q1
230066,240011,6.0,2010,1,S,6.4,6.4,6.4,43,Q1
226944,240012,6.0,2010,1,S,7.2,7.2,7.2,53,Q1
229037,240012,6.0,2010,1,S,5.9,5.9,5.9,53,Q1
227707,240014,6.0,2010,1,S,7.0,7.0,7.0,42,Q1
227786,240014,6.0,2010,1,N,3.1,3.1,3.1,42,Q1
227829,240014,6.0,2010,1,S,6.4,6.4,6.4,42,Q1
227520,240014,6.0,2010,1,S,5.0,5.0,5.0,41,Q1
227590,240014,6.0,2010,1,S,8.2,8.2,8.2,41,Q1
227701,240014,6.0,2010,1,S,7.2,7.2,7.2,41,Q1
226680,240014,6.0,2010,1,S,7.7,7.7,7.7,42,Q1
226685,240014,6.0,2010,1,S,6.5,6.5,6.5,42,Q1
229447,240014,6.0,2010,1,S,5.2,5.2,5.2,32,Q1
230157,240014,6.0,2010,1,S,6.1,6.1,6.1,32,Q1
232333,240014,6.0,2010,1,S,5.6,5.6,5.6,32,Q1
226431,240014,6.0,2010,1,S,5.3,5.3,5.3,41,Q1
227092,240014,6.0,2010,1,S,5.8,5.8,5.8,41,Q1
228188,240013,6.0,2010,1,S,6.6,6.6,6.6,52,Q1
231202,240013,6.0,2010,1,S,5.3,5.3,5.3,72,Q1
227285,240013,6.0,2010,1,N,3.5,3.5,3.5,72,Q1
227877,240013,6.0,2010,1,S,8.5,8.5,8.5,72,Q1
227303,240013,6.0,2010,1,S,6.7,6.7,6.7,71,Q1
227728,240013,6.0,2010,1,S,6.3,6.3,6.3,71,Q1
228375,240013,6.0,2010,1,S,5.0,5.0,5.0,71,Q1
227341,240014,6.0,2010,1,S,6.0,6.0,6.0,22,Q1
227637,240014,6.0,2010,1,S,9.0,9.0,9.0,22,Q1
227738,240014,6.0,2010,1,S,6.2,6.2,6.2,22,Q1
228247,240014,6.0,2010,1,S,8.2,8.2,8.2,11,Q1
228432,240014,6.0,2010,1,S,5.2,5.2,5.2,11,Q1
